x,y,z
-167.5461829798,57.6418355713,-69.8924
-167.5461742113,57.6418360301,-69.759
-167.5461660441,57.6418402877,-68.8892
-167.546157195,57.6418407272,-69.1705
-167.546148339,57.6418411764,-69.2402
-167.5461395617,57.6418416308,-69.1012
-167.5461309236,57.6418420735,-69.0829
-167.5461217666,57.6418425208,-69.4826
-167.5461135789,57.6418429776,-68.7186
-167.5461048981,57.6418434278,-68.6067
-167.5460963686,57.6418438691,-68.537
-167.5460876169,57.6418443206,-68.5066
-167.5460787949,57.6418447743,-68.522
-167.5460699895,57.6418452285,-68.516
-167.5460610475,57.6418456872,-68.5813
-167.5460518628,57.6418461459,-68.8422
-167.5460423976,57.6418466232,-69.1188
-167.5460330549,57.6418470988,-69.2936
-167.5460241591,57.641847562,-69.2436
-167.5460156727,57.6418480087,-69.0983
-167.5460069922,57.6418484655,-68.964
-167.5459982048,57.6418489262,-68.874
-167.5459891345,57.6418493977,-68.8829
-167.545979794,57.6418498779,-68.9676
-167.5459702642,57.6418503655,-69.1588
-167.5459601862,57.6418508758,-69.4302
-167.5459512611,57.6418513462,-69.338
-167.5459433456,57.6418517803,-68.966
-167.5459353582,57.6418522121,-68.68
-167.5459268667,57.6418526662,-68.4878
-167.5459196874,57.6418530695,-67.9772
-167.5459110546,57.6418535293,-67.839
-167.5459010279,57.641854045,-68.021
-167.5458916348,57.6418545357,-68.0853
-167.5458824752,57.6418550198,-68.0442
-167.5458728746,57.6418555212,-68.0858
-167.5458631122,57.6418560323,-68.1512
-167.5458536455,57.641856532,-68.1447
-167.5458442432,57.6418570279,-68.1541
-167.5458339988,57.6418575595,-68.2893
-167.54582232,57.6418581529,-68.6464
-167.5458118159,57.6418587013,-68.7725
-167.5458021535,57.6418592126,-68.7722
-167.5457924065,57.6418597286,-68.7397
-167.5457826364,57.6418602484,-68.705
-167.5457729713,57.6418607645,-68.6453
-167.5457637343,57.6418612627,-68.512
-167.545754257,57.6418617703,-68.4424
-167.5457444224,57.6418622945,-68.3855
-167.545736143,57.6418627525,-68.0992
-167.5457248523,57.6418633448,-68.2394
-167.5457119775,57.6418640051,-68.6074
-167.5456999507,57.6418646282,-68.8164
-167.5456881988,57.6418652449,-68.961
-167.5456766813,57.6418658506,-69.0558
-167.545666628,57.6418663937,-68.9536
-167.5456578775,57.6418668772,-68.7115
-167.5456462076,57.6418674931,-68.7914
-167.5456352088,57.6418680815,-68.7796
-167.5456252882,57.6418686222,-68.6321
-167.5456162356,57.6418691224,-68.4066
-167.5456041479,57.6418697617,-68.4884
-167.5455892211,57.6418705315,-68.8646
-167.5455769382,57.641871184,-68.9338
-167.5455677451,57.6418716935,-68.6604
-167.5455590816,57.6418721804,-68.3598
-167.5455496537,57.6418727049,-68.1112
-167.5455387219,57.6418732994,-68.0086
-167.5455269313,57.641873933,-67.9787
-167.5455141001,57.6418746156,-68.0626
-167.545500141,57.641875352,-68.2111
-167.5454855566,57.6418761189,-68.3988
-167.5454718913,57.6418768433,-68.4818
-167.5454599885,57.64187749,-68.3964
-167.5454486507,57.6418781096,-68.2746
-167.5454374352,57.6418787251,-68.1088
-167.5454255685,57.6418793734,-67.9918
